tweet_id,favorites,retweet_count
816062466425819140,0,1012
816014286006976512,0,5233
815990720817401858,4932,1012
815966073409433600,22319,8412
815745968457060357,0,4106
815736392542261248,9819,2246
815639385530101762,8206,1643
815390420867969024,10330,3795
814986499976527872,7630,1272
814638523311648768,11225,2687
814578408554463233,0,5810
814530161257443328,8613,1850
814153002265309185,28696,8635
813944609378369540,0,3176
813910438903693312,9281,1858
813812741911748608,36354,13918
813800681631023104,8302,1750
813217897535406080,18618,7267
813202720496779264,9224,1812
813187593374461952,19825,4339
813172488309972993,9253,1914
813157409116065792,7768,2200
813142292504645637,8470,2375
813130366689148928,4474,446
813127251579564032,11809,3121
813112105746448384,10286,2729
813096984823349248,10573,3622
813081950185472002,9878,2776
813066809284972545,7934,1952
813051746834595840,20962,7341
812781120811126785,7556,1900
812709060537683968,6605,1435
812503143955202048,6056,1213
812466873996607488,7961,1932
812372279581671427,13649,3650
811985624773361665,7258,1397
811744202451197953,7530,1588
811647686436880384,5602,740
811627233043480576,12763,3073
811386762094317568,20898,6375
810984652412424192,5324,1438
810896069567610880,8995,1761
810657578271330305,10955,2636
810284430598270976,35189,11217
810254108431155201,14675,3372
809920764300447744,15555,3936
809808892968534016,0,4884
809448704142938112,6934,1466
809220051211603969,19920,5593
809084759137812480,13223,3525
808838249661788160,10122,3032
808733504066486276,7894,2161
808501579447930884,11315,2597
808344865868283904,42554,20817
808134635716833280,0,5906
808106460588765185,8809,2213
808001312164028416,12527,3536
807621403335917568,14593,3613
807106840509214720,118198,55257
807059379405148160,0,7335
807010152071229440,13093,3865
806629075125202948,74624,34583
806620845233815552,0,5530
806576416489959424,4891,1955
806542213899489280,10223,2356
806242860592926720,0,11603
806219024703037440,6446,1195
805958939288408065,0,5368
805932879469572096,8281,1925
805826884734976000,6560,1819
805823200554876929,0,8002
805520635690676224,5759,1657
805487436403003392,8802,2533
805207613751304193,7843,1716
804738756058218496,13715,3817
804475857670639616,6135,2010
804413760345620481,0,3238
804026241225523202,44449,16097
803773340896923648,10074,2746
803692223237865472,0,7435
803638050916102144,10961,4151
803380650405482500,7768,1876
803321560782307329,0,5324
803276597545603072,10035,2454
802952499103731712,9020,1996
802624713319034886,0,2918
802600418706604034,7106,1467
802572683846291456,8948,2502
802323869084381190,16186,5820
802265048156610565,6756,1376
802239329049477120,9080,2627
802185808107208704,0,273
801958328846974976,7758,1721
801854953262350336,1790,236
801538201127157760,8235,2067
801285448605831168,6066,818
801167903437357056,24485,5906
801127390143516673,0,3956
801115127852503040,8072,2105
800859414831898624,688,98
800855607700029440,0,1614
800751577355128832,10580,2799
800513324630806528,13143,2986
800459316964663297,9516,2176
800443802682937345,0,4324
800388270626521089,11159,2809
800188575492947969,0,3944
800141422401830912,15292,2550
800018252395122689,28386,13155
799774291445383169,0,4682
799757965289017345,8399,2172
799422933579902976,8080,1928
799308762079035393,0,5461
799297110730567681,9881,2755
799063482566066176,8084,2478
798933969379225600,13089,4454
798925684722855936,7520,1441
798705661114773508,0,6644
798701998996647937,0,7772
798697898615730177,0,6522
798694562394996736,0,4948
798686750113755136,0,2336
798682547630837760,0,4744
798673117451325440,0,5557
798665375516884993,0,3905
798644042770751489,0,1854
798628517273620480,0,1978
798585098161549313,0,5683
798576900688019456,0,5836
798340744599797760,0,3334
798209839306514432,10438,2566
797971864723324932,11592,3109
797545162159308800,14568,4875
797236660651966464,19979,6569
797165961484890113,226,26
796904159865868288,0,8919
